ticker;Event_Date;CAR_10_10_post;CAR_6_6_post;CAR_2_6_post;CAR_2_post;id_2;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m;breach_size_group;market_cap_group;year_group
DXPE;2021-03-18;-0,06070883223072332;-0,094799992736317978;-5,83805005955090e-02;-0,042689883372621411;DXPE2020;09/10/2020;09/10/2020;Industrials;Cyclical;2,550;HACK;HACK;52;2941;2020;6;12,936986300;351,890560;-0,033714958;-0,081230122;1,038904091;0,137453910;868,13;Large;Small Cap;modern
EFX;2015-02-25;0,06067949757747899;0,005942668377987356;1,20919301723748e-02;0,002920280127631929;EFX2014;05/03/2014;05/03/2014;Industrials;Cyclical;7,500;HACK;HACK;33;14;2014;4;38,958904110;8437,998000;0,078601686;0,166992409;0,521067224;0,027448547;4674,20;Small;Large Cap;early
EFX;2016-02-24;0,01944174422626038;-0,000662361009317416;-2,72766770773258e-02;-0,003036618075116989;EFX2015;02/04/2015;02/04/2015;Industrials;Cyclical;8,000;DISC;DISC;18;1382;2015;5;2,405479452;11037,913000;0,095165225;0,185685231;0,496776148;0,020691949;4509,00;Small;Large Cap;early
EFX;2018-03-01;0,09321722118015653;0,086837017374281136;5,50575527257529e-02;0,030666221465862252;EFX2017;07/09/2017;07/09/2017;Industrials;Cyclical;10,300;HACK;HACK;114;145500000;2017;5;10,780821920;16980,939000;0,081192800;0,185011341;0,674678679;0,046506484;7233,40;Large;Large Cap;early
EFX;2019-02-21;0,04456626659989665;0,031921033232720622;4,49112259123010e-03;-0,002350771089882648;EFX2018;01/03/2018;01/03/2018;Industrials;Cyclical;10,900;HACK;HACK;42;2400000;2018;5;25,205479450;13627,800000;0,041911312;0,096466954;0,848027544;0,031258737;7153,20;Large;Large Cap;early
ELMD;2022-08-23;0,12292496623055946;0,084970032995714970;-2,11310763611278e-02;-0,000824777462447869;ELMD2021;09/08/2021;09/08/2021;Health Care;Defensive;0,156;HACK;HACK;54;47521;2021;2;28,495890410;95,767500;0,055724785;0,067450912;0,003511544;0,197103762;41,36;Large;Small Cap;modern
EQBK;2022-03-09;-0,06588927377094637;-0,003502436593761995;-4,97968133697347e-03;-0,001197839601273626;EQBK2021;30/12/2021;30/12/2021;Financials;Cyclical;0,702;HACK;HACK;59;137950;2021;5;7,682191781;569,672400;0,010214825;0,104827707;0,315240167;0,050437838;5137,63;Large;Small Cap;modern
EWCZ;2024-03-06;-0,19028243257492836;-0,105724219889050064;-1,63437632163053e-01;-0,005247376685616766;EWCZ2023;25/05/2023;25/05/2023;Consumer Discretionary;Cyclical;0,204;HACK;HACK;37;1592;2023;5;55,117808220;840,591180;0,012139030;0,107160855;4,564205323;0,071677500;735,73;Small;Small Cap;recent
EXEL;2014-02-20;-0,09812683568550391;-0,107489947295846947;-2,07910092322493e-02;-0,024204636705769701;EXEL2013;15/08/2013;15/08/2013;Health Care;Defensive;0,227;STAT;OTHER;16;39;2013;5;39,608219180;900,525920;-0,486322913;-3,695159878;5,242262749;0,206597826;503,29;Small;Small Cap;early
EXPE;2023-02-10;-0,03984978503014475;-0,022489838061077884;2,42588409155383e-02;0,031565644002771363;EXPE2022;02/03/2022;02/03/2022;Consumer Discretionary;Cyclical;16,500;HACK;HACK;343;1770;2022;4;25,586301370;28793,648000;0,016325773;0,154183092;2,903635567;0,189972636;21561,00;Large;Large Cap;modern
FBIO;2023-03-31;0,09172922711946659;0,010580915120887716;-7,97249521470931e-02;-0,066013067695960728;FBIO2022;18/03/2022;18/03/2022;Health Care;Defensive;0,187;HACK;HACK;205;1800;2022;6;36,816438360;156,901480;-0,294171613;-2,075243300;2,981830385;0,605726790;294,30;Large;Small Cap;modern
FCX;2024-02-16;-0,12216190750156658;-0,062632066435194422;-3,35584714896616e-02;0,018594939509430773;FCX2023;08/09/2023;08/09/2023;Materials;Cyclical;27,200;HACK;HACK;31;168;2023;6;13,515068490;57055,600000;0,035195978;0,110705086;0,590247409;0,090618215;52506,00;Small;Large Cap;recent
FFIN;2019-02-19;-0,01419428741569310;-0,013727991134976499;-1,23926925362742e-03;-0,002448449715849722;FFIN2018;21/09/2018;21/09/2018;Financials;Cyclical;1,350;HACK;HACK;73;3;2018;6;22,668493150;4144,756000;0,019482779;0,143015964;0,444990245;0,026880358;7731,85;Small;Small Cap;early
FIS;2024-02-26;0,10062721468534461;0,088780049566269989;3,99148135956618e-02;0,000683865562299023;FIS2023;21/06/2023;21/06/2023;Financials;Cyclical;52,000;HACK;HACK;21;49000;2023;4;62,035616440;31860,950000;-0,120751293;-0,348504688;0,763683025;0,007984756;55105,00;Large;Large Cap;recent
FIVE;2019-03-28;0,05210738163800478;0,007374066011971813;-3,10582306381552e-02;-0,047327748382678697;FIVE2018;05/10/2018;05/10/2018;Consumer Discretionary;Cyclical;13,900;HACK;HACK;52;3234;2018;6;25,923287670;6681,043380;0,157146548;0,243288018;0,000000000;0,264367864;952,26;Large;Large Cap;early
FLL;2021-03-12;-0,13313354143981665;-0,176809886602819433;-2,18041984985645e-01;-0,070064916639926256;FLL2020;27/08/2020;27/08/2020;Consumer Discretionary;Cyclical;1,151;HACK;HACK;155;5049;2020;5;24,517808220;52,078080;0,000691387;0,002593645;2,280360640;0,177305565;212,62;Large;Small Cap;modern
FNF;2017-02-27;0,01561120412806981;0,020976148699973343;-1,03672902659787e-02;-0,014440315381683909;FNF2016;29/07/2016;29/07/2016;Financials;Cyclical;55,219;DISC;DISC;7;1;2016;6;33,772602740;10281,182850;0,044942266;0,108405604;0,457971981;0,091474798;14463,00;Small;Large Cap;early
FNF;2018-02-23;-0,01651884853131234;-0,031221250862365432;-3,47953417347924e-02;0,008103055491479111;FNF2017;04/05/2017;04/05/2017;Financials;Cyclical;24,367;HACK;HACK;113;236;2017;5;47,465753420;11152,916480;0,072341821;0,148864403;0,170676861;0,121298219;9151,00;Small;Large Cap;early
FOSL;2020-02-27;0,21655824953947531;0,105231338134793045;8,65736236474907e-02;-0,145079917117482526;FOSL2019;18/07/2019;18/07/2019;Consumer Discretionary;Cyclical;10,200;HACK;HACK;65;1393;2019;5;41,569863010;557,191480;-0,032631617;-0,104094193;1,117874025;0,124767251;1604,73;Small;Small Cap;early
