ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
UAA;UAA2018;2019-02-25;29/03/2018;29/03/2018;Consumer Discretionary;Cyclical;15;HACK;HACK;37;150000000;2018;5;35,81369863;7325,34406;-0,010907364;-0,022957343;0,361368675;0,131307447;4245,02
CLH;CLH2020;2021-02-24;15/12/2020;15/12/2020;Industrials;Cyclical;14;HACK;HACK;110;772;2020;3;14,50958904;3949,1333;0,032636173;0,100508292;1,318669212;0,125644073;4131,52
FIVE;FIVE2018;2019-03-28;05/10/2018;05/10/2018;Consumer Discretionary;Cyclical;13,9;HACK;HACK;52;3234;2018;6;25,92328767;6681,04338;0,157146548;0,243288018;0;0,264367864;952,26
MDU;MDU2019;2020-02-21;22/07/2019;22/07/2019;Utilities;Defensive;13,359;STAT;OTHER;90;3;2019;2;38,46575342;5252,06464;0,043661385;0,117816655;0,828348868;0,00865007;7683,06
FYBR;FYBR2024;2025-02-20;06/06/2024;06/06/2024;Communication Services;Sensitive;13,025;HACK;HACK;54;751895;2024;5;36,17534247;6594,44495;-0,015620452;-0,065168994;2,435539365;0,036383041;20614
SNA;SNA2022;2023-02-09;07/04/2022;07/04/2022;Industrials;Cyclical;12,9;HACK;HACK;37;41052;2022;5;41,81917808;10991,23211;0,130750918;0,203445429;0,279338585;0,108593391;6972,8
ARW;ARW2010;2011-02-02;03/03/2010;03/03/2010;Information Technology;Sensitive;12,7;PORT;OTHER;13;4044;2010;4;21,38630137;3314,44477;0,049958659;0,147524218;0,541709433;0,096486364;9600,54
GES;GES2021;2022-03-24;09/07/2021;09/07/2021;Consumer Discretionary;Cyclical;12,5;HACK;HACK;157;1304;2021;6;7,147945205;1495,32345;0,067053186;0,275212075;1,852087342;0,162607782;2555,63
AYI;AYI2022;2023-10-26;06/12/2022;06/12/2022;Industrials;Cyclical;12,2;HACK;HACK;791;37137;2022;3;24,77260274;5623,28439;0,101510929;0,171678079;0,2931428;0,116737568;3408,5
CR;CR2016;2017-02-28;08/06/2016;08/06/2016;Industrials;Cyclical;11;DISC;DISC;1;15;2016;4;0,906849315;3520,2105;0,035822637;0,108308344;0,657346975;0,148687281;3428
UNM;UNM2022;2023-02-23;10/11/2022;10/11/2022;Financials;Cyclical;10,937;PHYS;OTHER;101;822;2022;5;7,134246575;5007,1566;0,02139175;0,142886654;0,391062789;0,001940265;61434,9
EFX;EFX2018;2019-02-21;01/03/2018;01/03/2018;Industrials;Cyclical;10,9;HACK;HACK;42;2400000;2018;5;25,20547945;13627,8;0,041911312;0,096466954;0,848027544;0,031258737;7153,2
UNM;UNM2023;2024-02-20;03/08/2023;03/08/2023;Financials;Cyclical;10,812;HACK;HACK;64;650521;2023;5;27,00547945;9515,83612;0,020295565;0,133016972;0,368599374;0,002308111;63255,2
ROL;ROL2013;2014-02-26;27/03/2013;27/03/2013;Industrials;Cyclical;10,649;DISC;DISC;15;25;2013;4;49,89041096;3569,29208;0,166838696;0,281411507;0;0,159920565;739,22
OII;OII2024;2025-02-24;01/03/2024;01/03/2024;Energy;Sensitive;10,4;DISC;DISC;60;1776;2024;6;52,47123288;1989,06136;0,063119049;0,206462922;1,192493199;0,212946108;2336,35
EFX;EFX2017;2018-03-01;07/09/2017;07/09/2017;Industrials;Cyclical;10,3;HACK;HACK;114;145500000;2017;5;10,78082192;16980,939;0,0811928;0,185011341;0,674678679;0,046506484;7233,4
FOSL;FOSL2019;2020-02-27;18/07/2019;18/07/2019;Consumer Discretionary;Cyclical;10,2;HACK;HACK;65;1393;2019;5;41,56986301;557,19148;-0,032631617;-0,104094193;1,117874025;0,124767251;1604,73
MKSI;MKSI2023;2024-02-27;15/02/2023;15/02/2023;Information Technology;Sensitive;10,2;HACK;HACK;2;1064;2023;4;42,02465753;6665,247;-0,201908313;-0,7447411;2,03236246;0,095964027;9118
CAL;CAL2023;2024-04-02;01/09/2023;01/09/2023;Consumer Discretionary;Cyclical;9,2;HACK;HACK;56;13926;2023;6;14,71232877;1017,4983;0,094966826;0,305710886;1,333962981;0,011834352;1804,75
ABG;ABG2019;2020-03-02;26/07/2019;26/07/2019;Consumer Discretionary;Cyclical;8,5;UNKN;OTHER;73;197;2019;6;15,12054795;1730,5728;0,063339402;0,285316417;1,561194492;0,001202212;2911,3
GDEN;GDEN2019;2020-03-13;07/11/2019;07/11/2019;Consumer Discretionary;Cyclical;8;HACK;HACK;161;5815;2019;5;10,17534247;427,38507;-0,02271504;-0,13648255;4,683634519;0,064148951;1740,92
EFX;EFX2015;2016-02-24;02/04/2015;02/04/2015;Industrials;Cyclical;8;DISC;DISC;18;1382;2015;5;2,405479452;11037,913;0,095165225;0,185685231;0,496776148;0,020691949;4509
BDC;BDC2023;2024-02-13;13/02/2023;13/02/2023;Information Technology;Sensitive;8;UNKN;OTHER;62;376;2023;2;41,02739726;3652,48887;0,074921201;0,208152234;1,118262098;0,184261977;3240,19
