ticker;Event_Date;CAR_10_10;CAR_5_5;CAR_1_1;CAR_0_3;CAR_0_1;CARa_1_1;CAR_1_3
LUV;20-04-2018;-0,0819;-0,0304;-0,0026;-0,0003;0,0106;0,0039;-0,0070
LUV;23-06-2023;0,2482;0,0917;0,0061;0,0434;0,0075;0,0071;0,0429
M;03-07-2018;-0,1263;-0,0804;-0,0350;-0,0421;-0,0046;-0,0195;-0,0570
M;14-11-2019;0,0644;-0,0456;0,0473;-0,0550;0,0443;0,0312;-0,0681
MATV;03-10-2022;0,0209;0,0056;0,0282;0,0507;0,0190;0,0084;0,0401
MDU;22-07-2019;0,0325;0,0031;-0,0191;-0,0168;-0,0105;-0,0097;-0,0160
MEG;06-09-2022;-0,0369;0,0286;0,0719;0,0333;0,0406;0,0219;0,0146
MFA;01-09-2021;-0,0331;-0,0462;0,0025;-0,0316;-0,0064;-0,0089;-0,0341
MGM;05-10-2023;0,0073;0,0122;-0,0042;0,0282;0,0223;0,0305;0,0365
MGRC;15-12-2021;0,0145;0,0064;0,0031;0,0355;0,0034;0,0130;0,0451
MKSI;15-02-2023;-0,0139;-0,0650;0,0032;-0,0184;0,0032;0,0043;-0,0173
ML;24-09-2021;-0,4340;-0,3485;-0,1204;-0,1755;0,0181;-0,0093;-0,2028
MMC;26-11-2013;-0,0014;-0,0065;-0,0112;-0,0054;-0,0068;-0,0015;-0,0001
MMS;18-06-2021;-0,0743;-0,0151;-0,0055;0,0056;0,0178;0,0211;0,0088
MMS;01-11-2022;0,0447;0,0469;-0,0120;-0,0436;-0,0073;-0,0009;-0,0372
MMS;28-07-2023;-0,0914;-0,0927;-0,0085;-0,0034;-0,0054;-0,0082;-0,0062
MODG;07-08-2023;-0,1126;-0,0993;-0,0342;-0,1237;-0,0514;-0,0231;-0,0955
MOH;21-12-2017;0,0660;0,0085;-0,0358;-0,0165;-0,0596;-0,0175;0,0256
MRTN;25-03-2022;-0,2038;-0,1750;-0,0244;-0,0494;-0,0170;-0,0141;-0,0465
MRTN;15-05-2023;0,0782;0,0373;0,0082;0,0152;-0,0032;0,0027;0,0211
MS;10-07-2020;-0,0153;0,0429;0,0378;0,0414;0,0577;0,0255;0,0093
MS;02-07-2021;-0,0178;0,0247;-0,0285;-0,0501;-0,0258;-0,0187;-0,0431
MTX;24-11-2020;-0,0475;-0,0205;0,0169;-0,0280;0,0026;-0,0227;-0,0532
MTZ;20-11-2023;0,2399;0,0873;0,0593;0,0671;0,0600;0,0375;0,0446
MXL;11-06-2020;0,1417;0,0185;0,0032;0,0219;0,0158;-0,0093;-0,0032
MYRG;16-05-2016;-0,0502;-0,0177;-0,0347;-0,0217;-0,0177;-0,0198;-0,0237
MYRG;09-09-2020;-0,0056;-0,0414;-0,0277;-0,0485;-0,0290;-0,0074;-0,0270
NTRA;15-07-2019;-0,1252;-0,0350;-0,0289;0,0261;-0,0095;-0,0074;0,0282
OII;01-03-2024;0,0514;-0,0874;-0,0271;0,0172;0,0262;-0,0106;-0,0196
OKTA;01-11-2023;-0,2087;-0,0892;-0,0052;-0,0375;-0,0237;-0,0330;-0,0468
ONTF;29-10-2021;-0,0936;-0,1022;-0,0200;-0,0080;0,0007;-0,0069;-0,0156
PBYI;04-04-2022;0,0266;0,1394;0,1640;0,0986;0,1278;0,0642;0,0349
PBYI;17-05-2023;0,2249;0,0330;-0,0812;0,0385;-0,0598;-0,0386;0,0597
PCAR;14-02-2018;-0,0203;0,0051;-0,0248;-0,0117;-0,0197;-0,0160;-0,0079
PEP;07-10-2022;0,0085;0,0190;-0,0067;0,0583;0,0091;0,0043;0,0534
PK;16-09-2019;0,1002;0,0839;0,0261;0,0021;-0,0049;-0,0095;-0,0025
PLUG;15-12-2023;0,0776;0,0093;0,0142;-0,1092;-0,0775;-0,0692;-0,1008
